id,text,Open AI Classfier,GPT Zero (perplexity),GPT Zero (burstiness),DetectGPT (z score),GPT Zero,DetectGPT,Label
43449,"Ming (壬品大明, pinyin: Bǎo Míng D� Míng ), was the ruling dynasty of China from 1368 to 1644. The Ming, meaning ""brightness and prosperity"", was the last dynasty in China's traditional imperial line and the first of the dynasty in which direct rule by a dynasty did not continue.

The Ming dynasty was founded by the grandson of the Hongwu Emperor, Zhu Di, after he overthrew the Mongol-led Yuan dynasty in 1368. The Hongwu Emperor was a military leader who founded the Ming dynasty to resist the Mongol invasions of China. He was able to consolidate his power by suppressing rebellions and through alliances with other regional rulers. By 1405, he had conquered all of China and established a new capital at Beijing, which became one of the most important cities in world history.

The first years of the Ming dynasty were marked by economic instability and peasant revolts. However, Zhu Di's successors were able to maintain control over the empire through a system of controls and incentives which they developed. The economy continued to improve during the reigns of successive emperors until it reached its peak",2,48.66666667,42.51470184,0.568908,1,0,1
44585,"accelerator. It uses a magnetic field to trap charged particles, and then uses a radiofrequency power supply to accelerate the particles to high speeds. Cyclotrons are used in particle physics and in medical research.",2,67,53.32916641,0.421491,0,0,1
45871,"speaker, audio device, or amp) is an electronic device that transmits sound waves through air. Used in installations such as public address systems, portable audio players, and home cinema systems, loudspeakers are essential components in audio reproduction.

Loudspeakers are used to produce sound with an increased amplitude (loudness), and are typically used to generate sound for an audience. When used in public address systems, loudspeakers are often placed on a stage or in a stadium to create a pro-audio experience for the attendees. Portable audio players use loudspeakers to reproduce music or spoken words for listeners to hear outdoors or while travelling. Home cinema systems use loudspeakers to create a Dolby Digital or DTS surround sound experience for movie watchers.",4,41.16666667,25.76366997,0.136514,1,1,1
48852,"in which prices are determined by the forces of supply and demand in a free and open market. The term is often used to describe economies in which private enterprise is the predominant mode of production.

A market economy is an economic system that relies on the free exchange of goods and services to generate prosperity. In a market economy, prices are determined by the forces of supply and demand in a free and open market. This allows for the efficient allocation of resources, as well as competition among producers to produce goods and services that are the best value for consumers.

The benefits of a market economy include increased economic efficiency, broad-based prosperity, and stability. These benefits are derived from two principal sources: the ability of markets to allocate resources more efficiently than any other mechanism, and the incentive structure that drives individuals and businesses to seek out the most profitable opportunities.

A market economy has many features that distinguish it from other economic systems. For example, a market economy is based on private property rights, which allows for an efficient allocation of resources and promotes innovation. Markets also produce a wide variety of goods and services that are available at different prices, which allows for a great deal of diversity and choice in the marketplace. Furthermore, in a market economy, there is competition among producers to provide goods and services that are the best value for consumers. This incentivizes companies to be innovative and to reduce costs in order to increase",4,20.75,8.946,2.112,1,1,1
50438,"Year 898 (DCCCXCVIII) was a common year starting on Sunday (link will display the full calendar) of the Julian calendar. Events 
By place 
Europe 
January 1 – King Odo I (or Eudes) dies at La Fère (Northern France) after a 10-year reign. His rival, the 18-year-old Charles the Simple in Laon, gains sovereignty and becomes ruler (with no real authority) of the West Frankish Kingdom. This puts an end to five years of civil war between the Frankish nobles.
Summer – Adalbert II, margrave of Tuscany, revolts (pushed by his wife Bertha) against his cousin, Emperor Lambert II. The Tuscan army proceeds against the Lombard capital of Pavia. Lambert with his forces at Marengo defeats Adalbert at Borgo San Donnino, taking him, as a prisoner, to Pavia.
October 15 – Lambert II dies from falling off his horse while hunting — or is killed (possibly assassinated by supporters of Maginulf of Milan). After the death of Lambert, his rival Berengar I gains recognition as king of",2,860.9167,2547.342,0.141489,0,1,0
50875,"The history of Madagascar is distinguished clearly by the early isolation of the landmass from the ancient supercontinent containing Africa and India, and by the island's late colonization by human settlers from the Sunda islands (Malay Archipelago) and from East Africa. 
These two factors facilitated the evolution and survival of thousands of endemic plant and animal species, some of which have gone extinct or are currently threatened with extinction due to the government not allocating resources to help the growing population, causing many people to resort to harmful environmental practices as a way of survival.
Trade in the Indian Ocean at the time of first colonization of Madagascar was dominated by large ships, called Djong, coming from Java and Sumatra. Over the past two thousand years the island has received waves of settlers of diverse origins including Austronesian, Bantu, Arab, South Asian, Chinese and European. The majority of the population of Madagascar today is a mixture of Austronesian and Bantu settlers. Despite popular belief, there has been no genetic input from Arabs or Indians, although one tribe, the Antemoro, claims descent from Somali Arab traders. European and Middle eastern paternal ancestry is also present.",1,56.85714,43.63649,0.428139,0,0,0
54104,"Vitamin E is a group of eight fat soluble compounds that include four tocopherols and four tocotrienols. Vitamin E deficiency, which is rare and usually due to an underlying problem with digesting dietary fat rather than from a diet low in vitamin E, can cause nerve problems. Vitamin E is a fat-soluble antioxidant which may help protect cell membranes from reactive oxygen species. Worldwide, government organizations recommend adults consume in the range of 3 to 15� mg per day. As of 2016, consumption was below recommendations according to a worldwide summary of more than one hundred studies that reported a median dietary intake of 6.2� mg per day for alpha-tocopherol. Research with alpha-tocopherol as a dietary supplement, with daily amounts as high as 2,000� mg per day, has had mixed results. Population studies suggested that people who consumed foods with more vitamin E, or who chose on their own to consume a vitamin E dietary supplement, had lower incidence of cardiovascular diseases, cancer, dementia, and other diseases, but placebo-controlled clinical trials could not always replicate these findings. As of 2017, vitamin E continues to be a topic of active clinical research. There is no",1,37.44444444,35.86122894,0.567976,1,0,0
54293,"A web portal is a specially designed website that brings information from diverse sources, like emails, online forums and search engines, together in a uniform way. Usually, each information source gets its dedicated area on the page for displaying information (a portlet); often, the user can configure which ones to display. Variants of portals include mashups and intranet ""dashboards"" for executives and managers. The extent to which content is displayed in a ""uniform way"" may depend on the intended user and the intended purpose, as well as the diversity of the content. Very often design emphasis is on a certain ""metaphor"" for configuring and customizing the presentation of the content (e.g., a dashboard or map) and the chosen implementation framework or code libraries. In addition, the role of the user in an organization may determine which content can be added to the portal or deleted from the portal configuration. A portal may use a search engine's application programming interface (API) to permit users to search intranet content as opposed to extranet content by restricting which domains may be searched. Apart from this common search engines feature, web portals may offer other services such as e-mail,",3,61.125,53.73596,-0.3532,0,1,0
56314,"law that allow a person or company to maintain an action or claim without actually paying any money to the plaintiff. The doctrines are based on the principle that it is in the public interest for someone to maintain an action, especially if the plaintiff cannot afford to pay for it themselves.

The doctrine of maintenance can be traced back to English common law. Under the doctrine of trover, a plaintiff could keep an action alive by demanding that the defendant pay damages even if they had not personally acquired anything wrongfully. This allowed plaintiffs to ensure that defendants were made to pay for any losses they may have caused, even if they had not actually obtained anything themselves. The maintenance doctrine was later extended to allow defendants to keep an action alive by providing financial support to the plaintiff. This doctrine is known as champerty, and it is based on the principle that it is in the public interest for someone to maintain an action, especially if the plaintiff cannot afford to pay for it themselves.

The maintenance doctrine can be used in a number of different ways. Sometimes, defendants will provide financial support to plaintiffs so that they can continue with their lawsuit. Other times, defendants will act as co-plaintiffs in the lawsuit, helping to pursue their claims on behalf of the plaintiff. In either case, the main goal of maintenance is to ensure that justice is served by allowing defendants to continue with their cases even if they do",4,35.545,18.822,1.063,1,1,1
59559,"Jugendstil (""Youth Style"") was an artistic movement, particularly in the decorative arts, that was influential primarily in Germany and elsewhere in Europe to a lesser extent from about 1895 until about 1910. It was the German counterpart of Art Nouveau. The members of the movement were reacting against the historicism and neo-classicism of the official art and architecture academies. It took its name from the art journal Jugend, founded by the German artist Georg Hirth. It was especially active in the graphic arts and interior decoration. Its major centers of activity were Munich and Weimar and the Darmstadt Artists' Colony founded in Darmstadt in 1901. Important figures of the movement included the Swiss graphic artist Hermann Obrist, Otto Eckmann, and the Belgian architect and decorator Henry van de Velde. In its earlier years, the style was influenced by Modern Style (British Art Nouveau style). It was also influenced by Japanese prints. Later, under the Secessionists influence, it tended toward abstraction and more geometrical forms.",2,87.9,48.35160446,-0.01781,0,1,0
62149,"that are typically made from milk and sugar, with eggs and often also butter or cream.",4,54,0,0.33139,0,0,1
63807,"to represent audio and video files. It is a lossy compression format, which means that less data is stored than the original files.",,81.5,55.86143,0.354807,0,0,1
69713,"football club based in Glasgow. The club was formed in 1872 and competes in the Scottish Premiership, having been promoted from the Scottish Second Division in 2014. Rangers have won the Scottish League Championship nine times, most recently in 1902. Rangers also reached the UEFA Cup Winners' Cup Final in 1967 and the UEFA Cup in 1972. The club played its first competitive match in November 1872 against Edinburgh Academical, and entered the Scottish Football League in 1893. Rangers reached the final of the Scottish Cup in 1894 but lost 1–0 to Celtic. In 1905, Rangers won their first league title, which was their first of nine Scottish League championships. The club were relegated for the first time in their history during the early 1910s, but went on to win the league title again in 1923 and have never been relegated since. In 1940, during World War II, Rangers became one of the few British football clubs to field a team in the European Championship. During their time in Europe, Rangers achieved a number of honours, including winning the European Cup Winners' Cup in 1972 and being runners-up twice, once in 1967 and once in 1971. The club's most successful period came between 1975 and 1992 as they won six league titles and two Scottish Cups. In 1994, Rangers entered into administration after being put into liquidation by their creditors. The club was bought by Craig Whyte and lasted until May 2011 when he was forced to sell it to",3,56.385,60.07,0.512,0,0,1
70201,"states that are united by a common federal government. This type of republic was first introduced in the United States of America, and has since become a common form of government in many parts of the world.

A federal republic is a federation of states that are united by a common federal government. This type of republic was first introduced in the United States of America, and has since become a common form of government in many parts of the world. A federal republic is composed of two types of members: the federal government, which is the central authority, and the states, which are the individual units of government. The federal government is made up of three branches: the legislative, the executive, and the judicial. The legislative branch consists of the Congress, which is made up of two houses: the House of Representatives and the Senate. The executive branch consists of the President, who is elected by the people, and the Vice President, who is appointed by the President. The judicial branch consists of the Supreme Court and other lower courts.

A federal republic is a federation of states that are united by a common federal government. This type of republic was first introduced in the United States of America, and has since become a common form of government in many parts of the world. A federal republic is composed of two types of members: the federal government, which is the central authority, and the states, which are the individual units of",4,24.25,31.387,1.016,1,1,1
88515,"Alejandro Celestino Toledo Manrique (; born 28 March 1946) is a Peruvian politician who served President of Peru, from 2001 to 2006. He gained international prominence after leading the opposition against president Alberto Fujimori, who held the presidency from 1990 to 2000. He pursued his undergraduate and graduate education at the University of San Francisco and Stanford University. He originally joined the technical and academic field, from where he participated as an analyst on politics and economics on some occasions. He entered politics when he founded the País Posible party, participating for the first time in the 1995 general election. In 2000, he managed to become in the largest opposition leader to the government of Alberto Fujimori, before whom in the midst of a controversial and bumpy process, lost the election for a second time. After the transition stage and the return of democracy in Peru, he participated for the third time in the 2001 elections against Lourdes Flores of National Unity and Alan García of the Peruvian Aprista Party; he competed with the latter in the second round, winning with 53.1% of the popular vote.",1,64.57143,38.10887,-0.25258,0,1,0
94331,"Tufnell Park is an area in north London, England, in the London boroughs of Islington and Camden. Its existence as a district or neighbourhood in Inner London is consolidated by its tube station on the Northern Line which, non-exclusively, serves this area of former farmland last owned by a wealthy branch of the Tufnell family before its development. The station opened in 1907; this is also the nearest tube station for the similarly residential Dartmouth Park, a higher area towards the centre of Highgate. The two are separated by part of today's London Overground line built in the 19th century; however, Junction Road railway station between the two ""Park"" districts closed in 1943, on the GOBLIN, the spur line of the main Overground loop about 200� metres north of the tube station. Tufnell Park Football Club was a football club based immediately south of the overground railway, where Tufnell Park Playing Fields and a playground is today. One of the top amateur clubs in the country in the early 20th century, it merged in 1950 into Edmonton F.C., in turn merging in 1973 into Haringey Borough F.C. based at Coles Park,",1,93,53.55059814,-0.50456,0,1,0
107572,"Corcoran is a city in Kings County, California. Corcoran is located south-southeast of Hanford, at an elevation of . It is part of the Hanford–Corcoran Metropolitan Statistical Area. The population was 24,813 (2010 census), up from 14,458 (2000 census). The California Department of Finance estimated that Corcoran's population was 21,960 in 2019. Corcoran is most notable as the site of the California State Prison, Corcoran. It was home to notable inmates Rodney Alcala, Charles Manson and Juan Corona. The California Substance Abuse Treatment Facility and State Prison, Corcoran is a separate facility that is also located in the city. As of January 1. 2015, the two prisons held a combined total of 9,592 inmates. Inmates are counted as city residents by both the United States Census and the California Department of Finance. Thus, the incarcerated people in the two prisons comprise just over 43% of the total population of Corcoran.",2,87.75,117.1713,-0.27194,0,1,0
108159,"an unincorporated community in Santa Clara County, California, United States. The ZIP Code is 95030.

Monte Sereno is located at . 
The elevation is approximately . 

According to the United States Census Bureau, the community has a total area of , all of it land. 

Monte Sereno is served by the Monte Sereno School District.",4,190,196.3477,0.137681,0,1,1
127010,"located in Chenango County, New York, United States. The population was 6,462 at the 2010 census.

The Town of Decatur is located in the southeast part of Chenango County, east of Norwich and southwest of Utica. The town is bordered by the towns of Union to the north, Sherburne to the east, and Bainbridge to the south.

According to the United States Census Bureau, the town has a total area of, all of it land.

The town is served by NYS Routes 17 and 20. NYS Route 5 intersects Routes 17 and 20 in Decatur.

As of the census of 2000, there were 5,851 people, 2,391 households, and 1,868 families residing in the town. The population density was 127.5 people per square mile (49.5/km²). There were 2,645 housing units at an average density of 50.2 per square mile (20.4/km²). The racial makeup of the town was 98.27% White, 0.19% African American, 0.37% Native American, 0.87% Asian, 0.04% Pacific Islander, 0.25% from other races, and 0.84% from two or more races. Hispanic or Latino of any race were 1.06% of the population.",2,42.25,28.54382515,0.128246,1,1,1
144743,"in English) are a Canadian ethnic group who originate from the French-speaking provinces of Quebec and Ontario. French Canadians constitute the majority of the population in both provinces, as well as in the Canadian province of New Brunswick. They also form a significant minority in the Maritime provinces of Nova Scotia and Prince Edward Island, and in Quebec City. Some French Canadians may also be found in the three other Canadian territories of Nunavut, the Northwest Territories and Yukon.

French Canadians are a culturally diverse group, with significant regional differences. They are largely Roman Catholic, though there is a significant Protestant minority as well as a growing number of secular French Canadians. French Canadians have a strong sense of community and are highly involved in community life, particularly in their rural communities. They are also highly involved in ethnic festivals and events.

French Canadians have been present in Canada since the early 17th century, when they began to arrive as refugees from religious wars in France. Many early French settlers in Canada were farmers who came to work the land that was being opened up by the British during the colonial period. In contrast to other European immigrants who came to Canada seeking opportunity, many French Canadians stayed on in Canada after gaining their independence from Britain in 1867. This was due to strong ties that had developed between Canada and France over the previous 150 years, as well as a strong sense of national identity among francophones in Canada. 

Today, French",2,105.769,280.333,1.479,1,1,1
151141,"Collin counties in the U.S. state of Texas. As of the 2010 census, the city had a population of 204,976. Richardson is part of the Dallas–Fort Worth, TX metropolitanplex and is about 30 minutes north of Downtown Dallas.

Richardson was founded in 1881 by C. C. Richardson and was named for him. The city's namesake was a member of the Texas House of Representatives and later the Texas Governor who helped organize and promote the town. By 1886, Richardson had a population of 700 and was the county seat of Dallas County. The city became known as the ""Queen City of the South"" because of its numerous cotton plantations. The cotton industry declined in the 1930s, however, and by the 1970s most of the plantations had been sold or abandoned.

In recent years, Richardson has transitioned from a traditional Southern city to become more diverse, with a growing technology sector. The city has made efforts to improve its economy by focusing on healthcare, business services, research and development, and manufacturing. Richardson is also home to several large corporate campuses, including IBM (a global technology company), Texas Instruments (an electronics manufacturer), Intel (a leading processor",2,32.81818,18.18141,-0.19118,1,1,1
163852,"translation is a translation in which the source text is translated literally, with only minor changes to word choice or grammar.

A calque may be a literal translation, or it may be an adaptation of the source text to make it more suitable for the target language. The translation may be faithful or free, depending on the degree to which the original text is used.

The use of calque can be traced back to the days of Classical Latin, when translations were often made from Greek and other ancient languages into Latin. In later centuries, calques were used in law, medicine, and other academic fields, as well as in popular culture.",4,27,1.870829,0.219147,1,1,1
167665,"Boston is an American rock band from namesake Boston, Massachusetts, that had its most notable successes during the 1970s and '80s. The band's core members on their most popular recordings included multi-instrumentalist founder and leader Tom Scholz, who played the majority of instruments on the debut album, and lead vocalist Brad Delp, among a number of other musicians who varied from album to album. Boston's best-known songs include ""More Than a Feeling"", ""Peace of Mind"", ""Foreplay/Long Time"", ""Rock and Roll Band"", ""Smokin'"", ""Don't Look Back"", ""A Man I'll Never Be"", and ""Amanda"". The band has sold more than 75 million records worldwide, including 31 million albums in the United States, of which 17 million were from its self-titled debut album and seven million were for its second album, Don't Look Back, making the group one of the world's best-selling artists. Altogether, the band has released six studio albums over a career spanning over years. Boston was ranked the 63rd best hard rock artist by VH1. After Delp's death in 2007, a number of other",1,32.42857143,17.39594841,0.319959,0,0,0
170442,"The caper story is a subgenre of crime fiction. The typical caper story involves one or more crimes (especially thefts, swindles, or occasionally kidnappings) perpetrated by the main characters in full view of the reader. The actions of police or detectives attempting to prevent or solve the crimes may also be chronicled, but are not the main focus of the story. The caper story is distinguished from the straight crime story by elements of humor, adventure, or unusual cleverness or audacity. The main characters often have comical idiosyncrasies and the law enforcement individuals are characterized by ineptitude or inadequacies. The criminals comically plan a crime with details unnecessary for the nature of the crime and humour is created when their personalities clash and their quirks are exposed. For instance, the Dortmunder stories of Donald E. Westlake are highly comic tales involving unusual thefts by a gang of offbeat characters — in different stories Dortmunder's gang steals the same gem several times, steals an entire branch bank, and kidnaps someone from an asylum by driving a stolen train onto the property. By contrast, the same author's Parker stories (published under the name Richard",1,90.25,46.5487442,-0.15126,0,1,0
173155,"to as a collective good, social good, or public benefit) is a good that is not consumed individually but is instead enjoyed by the community as a whole. The term has been used to describe a variety of goods and services, including national defense, parks, and public education.

Public goods can be produced in two ways: through the free rider problem or through the trust problem. The free rider problem occurs when individuals enjoy the benefits of a public good without contributing anything to its production. The trust problem occurs when individuals are unwilling to contribute to the production of a public good because they do not trust others not to take advantage of their contributions.

Public goods can be divided into two categories: collective goods and common-pool resources. Collective goods are goods that are enjoyed by the group as a whole, such as national defense or clean water. Common-pool resources are resources that are limited in quantity and easy to overuse, such as a fishing hole or a beach.

Public goods can be attractive to producers because they provide an opportunity to earn an economic profit without having to compete against other producers. However, public goods can be less attractive to consumers because they may not be able to afford to pay for them without contributing their own private resources.

Public goods can also be difficult to produce because they require cooperation between many individuals in order to be produced successfully. In order for public goods to be produced, it is often necessary",4,38.75,14.271,0.87,1,1,1
173415,"The English suffix -graphy means a ""field of study"" or related to ""writing"" a book, and is an anglicization of the French -graphie inherited from the Latin -graphia, which is a transliterated direct borrowing from Greek. Arts 
Cartography – art and field of making maps
Choreography – art of creating and arranging dances or ballets
Cinematography – art of making lighting and camera choices when recording photographic images for the cinema.
Collagraphy - In printmaking, a fine art technique in which collage materials are used as ink-carrying imagery on a printing plate. 
Pyrography – art of decorating wood or other materials with burn marks.
Iconography – art of interpreting the content by icons.
Klecksography – art of making images from inkblots.
Lithography – planographic printing technique
Photolithography – method for microfabrication in electronics manufacturing.
Pornography – practice, occupation and result of producing sexually arousing imagery or words.
Photography – art, practice or occupation of taking and printing photographs.
Serigraphy – printmaking technique that uses a stencil made of",2,664.5,811.5288,0.693968,0,0,0
173606,"Suzanne Duchamp-Crotti (20 October 1889 – 11 September 1963) was a French Dadaist painter, collagist, sculptor, and draughtsman. Her work was significant to the development of Paris Dada and modernism and her drawings and collages explore fascinating gender dynamics. Due to the fact that she was a woman in the male prominent Dada movement, she was rarely considered an artist in her own right. She constantly lived in the shadows of her famous older brothers, who were also artists, or she was referred to as ""the wife of."" Her work in painting turns out to be significantly influential to the landscape of Dada in Paris and to the interests of women in Dada. She took a large role as an avant-garde artist, working through a career that spanned five decades, during a turbulent time of great societal change. She used her work to express certain subject matter such as personal concerns about modern society, her role as a modern woman artist, and the effects of the First World War. Her work often weaves painting, collage, and language together in complex ways. Early life and education 
Suzanne was born in",2,81,62.17896,0.001158,0,1,0
